GENE_SYMBOL,control,low_dose,high_dose
1600002K03Rik,9.735666666666667,9.715,9.664
1600012F09Rik,9.0185,9.261666666666668,9.007416666666666
1600012H06Rik,9.402666666666669,9.477333333333332,9.3605
1600014C10Rik,11.080041666666666,10.577625,11.014625
1600015I10Rik,6.161833333333333,6.16,6.136499999999999
1600016N20Rik,6.575,6.8785,6.567833333333333
1600020E01Rik,7.863666666666666,7.927,7.728166666666667
1600021P15Rik,7.470666666666667,7.524166666666667,7.614083333333333
1600027N09Rik,7.4145,7.316833333333332,7.385000000000001
1600029D21Rik,7.921833333333333,8.631166666666667,7.877666666666666
1600029O15Rik,9.842,10.2975,10.267166666666666
1700001C02Rik,6.2185000000000015,6.227333333333334,6.25525
1700001C19Rik,6.390249999999999,7.816249999999999,8.870583333333334
1700001J11Rik,5.669833333333334,5.6005,5.605333333333334
1700001K19Rik,8.817333333333332,8.759,8.866833333333334
1700001L05Rik,6.143166666666667,6.16725,6.322833333333333
1700001P01Rik,6.059,5.927083333333333,5.869333333333334
1700006J14Rik,6.889666666666667,6.955333333333333,7.0808333333333335
1700008A04Rik,5.6955,5.6948333333333325,5.788999999999999
1700009P17Rik,7.514333333333333,7.208166666666666,7.636333333333333
1700010I14Rik,7.507833333333333,7.122,7.2156666666666665
1700010L04Rik,7.2775,6.933666666666666,7.121166666666666
1700010M22Rik,6.064166666666668,6.0086666666666675,6.214166666666667
1700011H14Rik,5.986833333333333,6.001666666666666,5.876833333333333
1700011J10Rik,6.637666666666667,6.772833333333334,6.884166666666666
1700012B15Rik,6.587250000000001,6.581416666666667,6.505333333333333
1700012L04Rik,6.13025,6.027,6.213583333333332
1700016K19Rik,7.038,6.922,7.089666666666666
1700017B05Rik,8.3325,8.430166666666667,8.358333333333334
1700018L02Rik,6.220333333333333,6.159166666666668,6.120333333333332
